time,phasePid,sfCpuPct,sfWsMB,sfPrivMB,sfGpuPct,sfGpuMemMB,wvCount,wvCpuPct,wvWsMB,wvPrivMB,wvGpuPct,wvGpuMemMB
2026-07-19 11:42:23.914,33380,0,66.3,3188.4,0,0,0,0,0,0,0,0
2026-07-19 11:42:26.540,33380,3.05,111.1,3257.9,0,10.6,0,0,0,0,0,0
2026-07-19 11:42:29.285,33380,9.83,784.1,3646.5,0,925.4,0,0,0,0,0,0
2026-07-19 11:42:32.352,33380,6.21,2037.7,5543.2,12.37,1053.5,0,0,0,0,0,0
2026-07-19 11:42:35.556,33380,13.59,2791.6,6413.3,15.89,1054.5,0,0,0,0,0,0
2026-07-19 11:42:38.512,33380,8.81,4296.5,7622.5,12.58,1054.5,0,0,0,0,0,0
2026-07-19 11:42:41.631,33380,8.77,5962.3,8207.9,11.63,1034.8,0,0,0,0,0,0
2026-07-19 11:42:44.489,33380,16.71,7430.2,8702.3,2.39,1015.6,0,0,0,0,0,0
2026-07-19 11:42:47.552,33380,32.76,7617.4,8797,0,1015.6,0,0,0,0,0,0
2026-07-19 11:42:50.469,33380,11.66,7670.4,8829,0,1015.6,0,0,0,0,0,0
2026-07-19 11:42:53.406,33380,7.6,8024.4,9089.9,0,1765.9,0,0,0,0,0,0
2026-07-19 11:42:56.406,33380,11.39,8066.1,9836.8,79.37,1749.8,0,0,0,0,0,0
2026-07-19 11:42:59.543,33380,13.22,8179.4,9833.2,65.52,2044.1,0,0,0,0,0,0
2026-07-19 11:43:02.538,33380,9.75,8253.7,10127.1,91.49,2065.7,0,0,0,0,0,0
2026-07-19 11:43:05.531,33380,6.18,8560.1,10453.3,93.51,2065.7,0,0,0,0,0,0
2026-07-19 11:43:08.324,33380,6.22,8545.1,10437.8,93.78,2065.7,0,0,0,0,0,0
2026-07-19 11:43:11.181,33380,5.61,8533,10425.5,94.41,2066.2,0,0,0,0,0,0
2026-07-19 11:43:13.923,33380,4.2,8534.9,10427.8,93.81,2066.2,0,0,0,0,0,0
2026-07-19 11:43:16.763,33380,5.06,8534.8,10427.3,94.01,2066.2,0,0,0,0,0,0
2026-07-19 11:43:19.525,33380,10.41,8526.2,10418.5,93.31,2082.3,0,0,0,0,0,0
2026-07-19 11:43:22.518,33380,14.62,8592.9,10503.4,93.4,2082.2,0,0,0,0,0,0
2026-07-19 11:43:25.372,33380,14.92,8593.5,10503.3,93.81,2082.2,0,0,0,0,0,0
2026-07-19 11:43:28.658,33380,16.43,8592,10502.3,88.69,2082.3,0,0,0,0,0,0
2026-07-19 11:43:31.694,33380,13.53,8592.6,10502.4,87.67,2082.3,0,0,0,0,0,0
2026-07-19 11:43:34.684,33380,15.24,8593,10502.4,94.69,2082.2,0,0,0,0,0,0
2026-07-19 11:43:37.500,33380,10.06,8593.1,10502.4,95.05,2082.3,0,0,0,0,0,0
2026-07-19 11:43:40.562,33380,14.63,8593.2,10502.4,90.33,2082.3,0,0,0,0,0,0
2026-07-19 11:43:43.595,33380,14.31,8593.4,10502.4,0,2082.3,0,0,0,0,0,0
2026-07-19 11:43:46.708,33380,15.23,8593.4,10502.4,90.43,2082.3,0,0,0,0,0,0
2026-07-19 11:43:49.595,33380,15.26,8593.5,10502.4,90.14,2082.2,0,0,0,0,0,0
2026-07-19 11:43:52.579,33380,14.51,8593.5,10502.4,91.89,2082.2,0,0,0,0,0,0
2026-07-19 11:43:55.425,33380,15.1,8593.7,10502.4,95.43,2082.2,0,0,0,0,0,0
2026-07-19 11:43:58.408,33380,15.81,8593.7,10502.4,94.93,2082.3,0,0,0,0,0,0
2026-07-19 11:44:01.387,33380,13.92,8593.8,10502.4,94.79,2082.2,0,0,0,0,0,0
2026-07-19 11:44:04.355,33380,15.2,8595.8,10503.1,95.07,2082.2,0,0,0,0,0,0
2026-07-19 11:44:07.237,33380,14.25,8595.9,10503.1,95.37,2082.2,0,0,0,0,0,0
2026-07-19 11:44:10.253,33380,5.96,8596,10503.1,96.12,2082.2,0,0,0,0,0,0
2026-07-19 11:44:13.135,33380,9.81,8596.1,10503.1,93.41,2082.2,0,0,0,0,0,0
2026-07-19 11:44:16.013,33380,4.75,8545.4,10452.5,95.35,2066.2,0,0,0,0,0,0
2026-07-19 11:44:18.817,33380,5.76,8545.4,10452.5,95.62,2082.2,0,0,0,0,0,0
2026-07-19 11:44:21.913,33380,0.66,8606.6,10495.7,0,0,0,0,0,0,0,0
# orphans_after_exit=0
