time,phasePid,sfCpuPct,sfWsMB,sfPrivMB,sfGpuPct,sfGpuMemMB,wvCount,wvCpuPct,wvWsMB,wvPrivMB,wvGpuPct,wvGpuMemMB
2026-07-19 12:39:11.753,37064,0,73.6,3195.1,0,0,0,0,0,0,0,0
2026-07-19 12:39:14.261,37064,3.08,153,3267.1,0,0,0,0,0,0,0,0
2026-07-19 12:39:17.138,37064,7.83,517.8,3639.5,0,331.5,0,0,0,0,0,0
2026-07-19 12:39:20.575,37064,6.09,1842,4765.1,9.65,936.9,0,0,0,0,0,0
2026-07-19 12:39:23.855,37064,12.95,2642.9,6117.6,13.74,942.1,7,0,363.6,207.2,0,0
2026-07-19 12:39:26.732,37064,8.91,3909.5,7229.8,9.87,942.1,7,0,361.2,204.6,0,0
2026-07-19 12:39:30.112,37064,8.8,5488.8,7980.4,13.54,942.1,7,0,359.3,202.7,0,0
2026-07-19 12:39:33.211,37064,13.55,7288.7,8458.3,1.25,942.1,7,0.02,359.3,202.7,0,0
2026-07-19 12:39:36.654,37064,32.7,7522.1,8617.6,17.49,942.1,7,0,359.2,202.7,0,0
2026-07-19 12:39:39.703,37064,11.02,7582.6,8677.9,9.63,942.1,7,0,359.4,202.7,0,0
2026-07-19 12:39:42.832,37064,8.07,7697.6,8786.6,15.17,1147.4,7,0.12,367.1,209.8,0,0
2026-07-19 12:39:46.103,37064,15.53,7717.2,9012.6,91.86,1439,7,0.11,368.5,210.4,0,0
2026-07-19 12:39:49.573,37064,23.16,8334.9,9484.4,94.14,1451.2,8,0.82,480,290.5,0,0
2026-07-19 12:39:52.887,37064,10.3,8349.9,9486.5,88.36,1451.7,8,2.39,479.6,288.2,0,0
2026-07-19 12:39:56.320,37064,9.53,8328.4,9464.6,87.59,1451.7,8,2.14,480,288.5,0,0
2026-07-19 12:39:59.661,37064,10.19,8207.8,9338.4,86.76,1451.7,8,2.29,480.7,281.9,0,0
2026-07-19 12:40:03.813,37064,11.17,8153.2,9283.6,89.18,1451.7,8,2.17,483.5,284.1,0,0
2026-07-19 12:40:07.169,37064,9.17,8153.2,9283.6,88.8,1451.7,8,2.23,484.2,284.6,0,0
2026-07-19 12:40:10.596,37064,9.2,8153.5,9284,85.79,1452.7,8,3.12,510.2,320.8,0,0
2026-07-19 12:40:13.893,37064,9.04,8153.5,9284.9,85.41,1452.7,8,3.97,490.8,301,0,0
2026-07-19 12:40:17.311,37064,8.83,8153.5,9284.9,85.94,1452.7,8,3.97,490.3,299.7,0,0
2026-07-19 12:40:20.644,37064,8.6,8153.5,9284.9,85.98,1452.7,8,4.26,497.1,301,0,0
