time,phasePid,sfCpuPct,sfWsMB,sfPrivMB,sfGpuPct,sfGpuMemMB,wvCount,wvCpuPct,wvWsMB,wvPrivMB,wvGpuPct,wvGpuMemMB
2026-07-19 12:07:42.550,40912,0,36.8,64.9,0,0,0,0,0,0,0,0
2026-07-19 12:07:45.283,40912,3.02,109.4,3256.9,0,10.4,0,0,0,0,0,0
2026-07-19 12:07:48.207,40912,7.36,791.8,3646,0,331.5,0,0,0,0,0,0
2026-07-19 12:07:51.858,40912,5.91,1842.3,4797.4,8.43,933,0,0,0,0,0,0
2026-07-19 12:07:55.416,40912,13.02,2694.8,6175.4,9.88,941,7,0,370.3,207.7,0,0
2026-07-19 12:07:58.716,40912,9.14,4247.4,7461.3,13.43,941,7,0,367,204,0,0
2026-07-19 12:08:02.165,40912,9.13,6141.3,8031.1,9.26,941,7,0.01,366.4,203.4,0,0
2026-07-19 12:08:05.260,40912,19.97,7338.3,8492.5,15.51,941,7,0,366.3,203.4,0,0
2026-07-19 12:08:08.883,40912,27.63,7542.7,8638.9,9.47,941,7,0,366.5,203.3,0,0
2026-07-19 12:08:12.100,40912,8.33,7619.7,8707.5,14.91,941,7,0.05,366.5,203.4,0,0
2026-07-19 12:08:15.559,40912,3.97,7680.2,8773.3,8.68,941.1,7,0.17,392.1,230.7,0,0
2026-07-19 12:08:18.772,40912,2.96,7711.6,8796.6,16.43,941.1,7,0.04,384.8,212.8,0,0
2026-07-19 12:08:22.081,40912,2.35,7711.7,8796.6,9.81,941.1,8,0,477,268.4,0,0
2026-07-19 12:08:25.213,40912,2.68,7647.7,8732.4,16.32,941.1,8,0,475,266.2,0,0
2026-07-19 12:08:28.481,40912,2.81,7647.7,8732.4,10.36,941.1,8,0.03,475,266.1,0,0
2026-07-19 12:08:31.628,40912,3.02,7647.8,8732.4,16.75,941.1,8,0.02,474.9,266,0,0
2026-07-19 12:08:34.857,40912,2.62,7647.8,8732.4,10.75,941.1,8,0,474.9,266,0,0
2026-07-19 12:08:37.959,40912,2.3,7647.8,8732.4,16.38,941.1,8,0,474.9,266,0,0
2026-07-19 12:08:41.127,40912,2.65,7647.9,8732.4,11.44,941.1,8,0,474.9,266,0,0
2026-07-19 12:08:44.342,40912,2.16,7647.9,8732.4,12.63,941.1,8,0,474.9,266,0,0
2026-07-19 12:08:47.627,40912,2.5,7647.9,8732.4,12.29,941.1,8,0.03,454.8,243.9,0,0
2026-07-19 12:08:50.774,40912,2.39,7647.9,8732.4,14.25,941.1,8,0.09,460.6,248.2,0,0
2026-07-19 12:08:54.031,40912,2.85,7647.9,8732.4,12.91,941.1,8,0,460.7,247.8,0,0
2026-07-19 12:08:57.136,40912,3.27,7647.9,8732.4,9.53,941.1,8,0,460.7,247.8,0,0
2026-07-19 12:09:00.389,40912,2.91,7647.9,8732.4,15.56,941.1,8,0,460.8,247.9,0,0
2026-07-19 12:09:03.539,40912,3.05,7647.9,8732.4,10.16,0,0,0,0,0,0,0
# orphans_after_exit=0
