time,phasePid,sfCpuPct,sfWsMB,sfPrivMB,sfGpuPct,sfGpuMemMB,wvCount,wvCpuPct,wvWsMB,wvPrivMB,wvGpuPct,wvGpuMemMB
2026-07-19 12:32:43.363,33480,0,37.9,63.3,0,0,0,0,0,0,0,0
2026-07-19 12:32:45.843,33480,3.17,115.3,3259,0,0,0,0,0,0,0,0
2026-07-19 12:32:48.627,33480,2.96,489.8,3584.5,0,196.6,0,0,0,0,0,0
2026-07-19 12:32:51.452,33480,10.34,909.9,3952.2,3.61,936.7,0,0,0,0,0,0
2026-07-19 12:32:54.509,33480,10.78,2343.3,5817,14.14,946.7,0,0,0,0,0,0
2026-07-19 12:32:57.479,33480,9.3,3577.1,6985.1,10.2,946.7,0,0,0,0,0,0
2026-07-19 12:33:00.567,33480,9,4713.7,7822.5,13.46,946.7,0,0,0,0,0,0
2026-07-19 12:33:03.567,33480,9.34,6818.9,8151.9,9.53,946.7,0,0,0,0,0,0
2026-07-19 12:33:06.644,33480,21.8,7478.1,8590.8,19.53,946.7,0,0,0,0,0,0
2026-07-19 12:33:09.700,33480,29,7601.9,8694.3,10.24,946.7,0,0,0,0,0,0
2026-07-19 12:33:12.945,33480,9.79,7670.7,8751.7,15.55,946.7,0,0,0,0,0,0
2026-07-19 12:33:15.973,33480,6.39,7742.7,8822.4,15.39,946.7,0,0,0,0,0,0
2026-07-19 12:33:19.105,33480,4.76,7841.5,8926.9,9.05,946.7,0,0,0,0,0,0
2026-07-19 12:33:22.082,33480,4.28,7777.5,8862.8,15.35,943,0,0,0,0,0,0
2026-07-19 12:33:25.186,33480,4.31,7777.4,8870.5,14.12,943,0,0,0,0,0,0
2026-07-19 12:33:28.095,33480,13.24,7774.3,8863.1,92.19,1148.2,0,0,0,0,0,0
2026-07-19 12:33:31.474,33480,29.29,8221.6,9143,91.55,1440.5,0,0,0,0,0,0
2026-07-19 12:33:34.655,33480,33.43,8465.8,9606.9,94.62,1440.3,0,0,0,0,0,0
2026-07-19 12:33:38.092,33480,33.63,8478.3,9617.3,94.44,1440.5,0,0,0,0,0,0
2026-07-19 12:33:41.341,33480,33.49,8413.9,9552,94.61,1440.5,0,0,0,0,0,0
2026-07-19 12:33:44.763,33480,33.65,8352.3,9489.3,94.88,1440.3,0,0,0,0,0,0
2026-07-19 12:33:47.998,33480,33.63,8352,9489.1,94.81,1440.3,0,0,0,0,0,0
2026-07-19 12:33:51.421,33480,29.32,8351.9,9489.3,94.24,1440.3,0,0,0,0,0,0
2026-07-19 12:33:54.643,33480,26.94,8364.5,9497.7,94.51,1440.5,0,0,0,0,0,0
2026-07-19 12:33:57.961,33480,24.37,8362.6,9498.3,94.62,1440.3,0,0,0,0,0,0
2026-07-19 12:34:01.190,33480,27.51,8362,9497.9,94.32,1440.3,0,0,0,0,0,0
2026-07-19 12:34:04.575,33480,28.79,8360.4,9496.9,94.59,1439.8,0,0,0,0,0,0
2026-07-19 12:34:07.694,33480,9.57,8373.3,9508.1,94.77,1466.5,0,0,0,0,0,0
2026-07-19 12:34:10.851,33480,10.78,8365.1,9523.8,94.68,1466.5,0,0,0,0,0,0
2026-07-19 12:34:13.935,33480,10.88,8360.9,9523,94.57,1466.5,0,0,0,0,0,0
2026-07-19 12:34:17.144,33480,12.51,8310.2,9470.4,94.71,1467.5,0,0,0,0,0,0
2026-07-19 12:34:20.226,33480,9.27,8307.1,9469.4,94.92,1467.5,0,0,0,0,0,0
2026-07-19 12:34:23.553,33480,24.01,8308.6,9471.1,84.09,1467.6,0,0,0,0,0,0
2026-07-19 12:34:26.728,33480,25.84,8436.4,9601.9,89.24,1467.8,0,0,0,0,0,0
2026-07-19 12:34:29.958,33480,22.95,8431,9596.6,89.88,1467.8,0,0,0,0,0,0
2026-07-19 12:34:33.229,33480,28.29,8369,9533.8,85.43,1467.6,0,0,0,0,0,0
2026-07-19 12:34:36.599,33480,16.99,8380.6,9547,94.61,1467.6,0,0,0,0,0,0
2026-07-19 12:34:39.805,33480,25.38,8443.3,9609.7,94.82,1468.2,0,0,0,0,0,0
